Priority,Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
11,Modulr Fs,,Financial institution,EC1Y 2AL,"THE FEATHERSTONE BUILDING, LONDON",02/12/2015,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Modulr Fs. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Modulr Fs who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
12,Westbourne 2016 - 3,,Financial institution,EC1Y 8LZ,"FLOORS 6-8 HYLO BUILDING, LONDON",26/08/2016,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Westbourne 2016 - 3. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Westbourne 2016 - 3 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
13,Selina Finance,,Financial institution,EC1Y 8LZ,"HYLO, LONDON",02/08/2018,FULL,62012 - Business and domestic software development | 64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Selina Finance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Selina Finance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
14,Dept Personalised Content Group,,Financial institution,EC1Y 2AL,"FLOOR 9 & 10, FEATHERSTONE BUILDING, LONDON",10/04/2019,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Dept Personalised Content Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",285,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Dept Personalised Content Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
15,Nwc Usa Group,,Financial institution,EC1Y 8LZ,"FLOORS 6-8 HYLO BUILDING, LONDON",28/04/2021,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Nwc Usa Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Nwc Usa Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
16,Hokodo,,Financial institution,EC2A 3JF,"RIVINGTON HOUSE, LONDON",20/02/2018,GROUP,62012 - Business and domestic software development | 64999 - Financial intermediation not elsewhere classified | 66220 - Activities of insurance agents and brokers,Whitechapel,15,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 15-min walk from Hokodo. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",239,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 15 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Hokodo who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
17,St. John Group,,Financial institution,EC1M 4AY,"26 ST. JOHN STREET, LONDON",14/04/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,15,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 15-min walk from St. John Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 15 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at St. John Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
18,Lightyear Financial,,Financial institution,EC1V 9DD,"256-260 OLD STREET, LONDON",03/10/2020,GROUP,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Lightyear Financial. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lightyear Financial who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
19,Many Group,,Financial institution,EC1R 5BD,"UNIT 1B 1-10, LONDON",12/08/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Many Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Many Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
20,Eta Money,,Financial institution,EC1Y 1AA,"CITY ROAD SPACES, CITY ROAD, LONDON",13/11/2017,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Eta Money. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Eta Money who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
21,Aureos Energy,,Financial institution,EC1A 9HP,"2ND FLOOR, 1 LINDSEY STREET, LONDON",05/10/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Aureos Energy. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aureos Energy who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
22,Farfetch Osprey,,Financial institution,EC1V 9NR,"THE BOWER,, LONDON",07/10/2022,FULL,64209 - Activities of other holding companies n.e.c.,Shoreditch Rooftop,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from Farfetch Osprey. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Farfetch Osprey who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
23,Lightyear U.K.,,Financial institution,EC1V 9DD,"256-260 OLD STREET, LONDON",21/09/2022,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Lightyear U.K.. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lightyear U.K. who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
24,Group Miki Holdings,,Financial institution,EC4V 3BJ,"VINTNERS PLACE, LONDON",13/09/1972,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Group Miki Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Group Miki Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
25,Od Projects (Holdings),,Financial institution,EC1Y 4TY,"8TH FLOOR,, LONDON",07/08/2012,GROUP,64203 - Activities of construction holding companies,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Od Projects (Holdings). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",276,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Od Projects (Holdings) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
26,Equals Group,,Financial institution,EC4V 3BJ,"THIRD FLOOR THAMES HOUSE VINTNERS PLACE, LONDON",04/03/2014,GROUP,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Equals Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equals Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
27,Lendable Operations,,Financial institution,EC2A 4NW,"TELEPHONE HOUSE, LONDON",25/04/2014,GROUP,66190 - Activities auxiliary to financial intermediation n.e.c.,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Lendable Operations. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lendable Operations who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
28,Methods Holdings,,Financial institution,EC1N 8TS,"SAFFRON HOUSE, LONDON",26/04/2017,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Methods Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Methods Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
29,Engage Holdings,,Financial institution,EC2A 4NW,"6TH FLOOR SOUTH, TELEPHONE HOUSE, LONDON",04/03/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Engage Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Engage Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
30,Kepler Interactive,,Financial institution,EC2A 4DQ,"2 LEONARD CIRCUS, LONDON",02/04/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Shoreditch Rooftop,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Shoreditch Rooftop, a 17-min walk from Kepler Interactive. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Kepler Interactive who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
31,Dinosaur Merchant Bank,,Financial institution,EC4V 3BJ,"5TH FLOOR EAST WING VINTNERS PLACE, LONDON",26/11/2003,MEDIUM,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Dinosaur Merchant Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Dinosaur Merchant Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
32,Metlife Investments,,Financial institution,EC4R 3AB,"ONE ANGEL LANE, LONDON",10/01/1992,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Metlife Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Metlife Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
33,Sumitomo Corporation Europe Holding,,Financial institution,EC4V 3BJ,VINTNERS  PLACE,25/11/1996,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Sumitomo Corporation Europe Holding. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",272,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sumitomo Corporation Europe Holding who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
34,Dataquest (Technology),,Financial institution,EC1Y 4TY,"24 CHISWELL STREET, LONDON",02/03/2004,FULL,64202 - Activities of production holding companies,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Dataquest (Technology). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",276,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Dataquest (Technology) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
35,Equals Money,,Financial institution,EC4V 3BJ,"3RD FLOOR, VINTNERS PLACE, LONDON",18/08/2005,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Equals Money. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equals Money who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
36,Equals Money Uk,,Financial institution,EC4V 3BJ,"3RD FLOOR VINTNERS PLACE, LONDON",04/06/2007,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Equals Money Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equals Money Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
