Business,Email,Email type,Phone (international),Website,Industry,Address,Postcode,City,Currently tagged venue,Walk to tagged venue (min),Tagged venue: booking status,Tagged venue: open after-work slots,Tagged venue: earliest slot,Haggerston Park: status,Best bookable alternatives nearby
Ralph,hello@ralph.world,general,+44 20 3006 6730,http://www.ralphandco.com/,service,"27, 33 Bethnal Grn Rd, London E1 6LA, UK",E1 6LA,London,Shoreditch Rooftop,22,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Hubers Law,info@huberslaw.co.uk,general,+44 20 3488 0953,http://www.huberslaw.co.uk/,consultant,"2, 3rd floor, 4 Commercial St, London E1 6LP, UK",E1 6LP,London,Whitechapel,14,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Home - House of Music and Entertainment,enquiries@homeuk.net,general,,https://www.homeuk.net/,coworking,"20 Commercial Street, London",E1 6LP,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Culpeper,events@theculpeper.com,people_team,+44 20 7247 5371,https://www.theculpeper.com/,amenity: pub,"Commercial Street 40, London",E1 6LP,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Young Foundation,reception@youngfoundation.org,general,+44 20 8980 6263,https://www.youngfoundation.org/,ngo,"28 Commercial Street, London",E1 6LS,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Toynbee Hall,info@toynbeehall.org.uk,openstreetmap_tag,,https://www.toynbeehall.org.uk,amenity: community centre,"Commercial Street 28, London",E1 6LS,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Lupita,east@lupita.co.uk,openstreetmap_tag,+44 20 3141 6000,https://www.lupita.co.uk/,amenity: restaurant,"Commercial Street 60-62, London",E1 6LT,London,Whitechapel,17,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Suba,info@subabakery.com,general,,https://www.subabakery.com/,amenity: cafe,"Commercial Street 74, London",E1 6LY,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Cubitts,spitalfields@cubitts.com,openstreetmap_tag,+44 20 7375 2439,https://www.cubitts.com/,shop: optician,"Commercial Street 86, London",E1 6LY,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Yuu Kitchen,info@yuukitchen.com,general,,https://www.yuukitchen.com/,amenity: restaurant,"Commercial Street 29, London",E1 6NE,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
MK Law Solicitors,enquiries@mk-law.co.uk,general,+44 20 8692 2694,http://mk-law.co.uk/,lawyer,"224 Shoreditch High St, London E1 6PN, UK",E1 6PN,London,Shoreditch Rooftop,22,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Olympia Properties,info@olympiaproperties.co.uk,general,+44 20 7377 8000,https://www.olympiaproperties.co.uk/,estate_agent,"13a Brick Lane, London",E1 6PU,London,Whitechapel,14,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Future Workshops,info@futureworkshops.com,general,,https://futureworkshops.com/,company,"11-29 Fashion Street, London",E1 6PX,London,Whitechapel,16,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
ILN,hello@iln.co.uk,general,,https://www.iln.co.uk/,company,"10 Fashion Street, London",E1 6PX,London,Whitechapel,17,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Brick Lane Brasserie,info@bricklanebrasserie.com,openstreetmap_tag,+44 20 7377 8072,,amenity: restaurant,"Brick Lane 67, London",E1 6QL,London,Whitechapel,17,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Brick Lane Taproom,hello@bricklanetaproom.co.uk,general,,https://www.bricklanetaproom.co.uk/,amenity: pub,"Brick Lane, London",E1 6QL,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Café 1001,info@cafe1001.co.uk,general,+44 20 7770 6050,https://www.cafe1001.co.uk/,amenity: nightclub,"Dray Walk, London",E1 6QL,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Slam City Skates,shop@slamcity.com,openstreetmap_tag,,https://www.slamcity.com,shop: sports,"Dray Walk 10, London",E1 6QL,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Son of a Stag,customercare@sonofastag.com,openstreetmap_tag,+44 20 7247 3333,https://sonofastag.com/,shop: clothes,"Dray Walk 9, London",E1 6QL,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Three Rounds Tavern,cheers@threerounds.co.uk,person_or_other,,https://threerounds.co.uk/,amenity: restaurant,"Hanbury Street 32, London",E1 6QR,London,Whitechapel,17,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Hanbury Hall Coworking,hello@hanburyhall.com,general,,http://www.hanburyhall.com/,coworking_space,"22a Hanbury St, London E1 6QR, UK",E1 6QR,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Kreston Reeves,datateam@krestonreeves.com,person_or_other,+44 20 7382 1820,https://www.krestonreeves.com/locations/london/?utm_source=Organic%20search&utm_medium=GMB,finance,"168 Shoreditch High St, London E1 6RA, UK",E1 6RA,London,Shoreditch Rooftop,19,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
StrategiQ Marketing Limited,suffolk@strategiq.co,person_or_other,+44 20 4574 6531,https://strategiq.co/,consultant,"Level 2 Warehouse, Nicholls & Clarke, Building 1 Fleur De Lis Psge, London E1 6RB, UK",E1 6RB,London,Shoreditch Rooftop,23,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
One Rice,onerice@example.com,openstreetmap_tag,+44 20 3859 5892,https://www.onericelondon.com/,amenity: restaurant,"Brick Lane 46, London",E1 6RF,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Vegan Yes,shop@veganyes.co.uk,person_or_other,,https://veganyes.co.uk,amenity: restaurant,"Brick Lane 64, London",E1 6RF,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Amar Gaon,info@amargaon.co.uk,openstreetmap_tag,+44 20 7377 6688,https://amargaon.co.uk/,amenity: restaurant,"Brick Lane 48-50, London",E1 6RL,London,Whitechapel,15,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Enso Lounge,info@ensolondon.uk,openstreetmap_tag,,https://www.ensolounge.com/,amenity: restaurant,"Brick Lane 124-126, London",E1 6RL,London,Whitechapel,17,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Reed Smith,rswebsite@reedsmith.com,person_or_other,+44 20 3116 3000,https://www.reedsmith.com/,lawyer,"1 Blossom Yard, London E1 6RS, UK",E1 6RS,London,Whitechapel,24,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Attlee Centre,admin@attleecentre.org,general,,https://attleecentre.org/,amenity: community centre,"Thrawl Street 5, London",E1 6RT,London,Whitechapel,16,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Thai O'CHA,info@thaiocha.co.uk,general,,https://thaiocha.co.uk/,amenity: restaurant,"Brick Lane 176, London",E1 6RU,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Urbiana UK,info@urbiana.co.uk,general,,https://urbiana.co.uk/,shop: jewelry,"Brick Lane 156, London",E1 6RU,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Hoxton Wealth,client.services@hoxtonwealth.com,person_or_other,+44 20 3917 3757,https://hoxtonwealth.com/uk,finance,"Level 10, 1 Blossom St, Norton Folgate, London E1 6SG, UK",E1 6SG,London,Whitechapel,23,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Crisis,bricklane.shop@crisis.org.uk,openstreetmap_tag,+44 20 7247 3831,,office building (multi-tenant),"78 Quaker Street, London",E1 6SW,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Buxton,bookings@thebuxton.co.uk,openstreetmap_tag,+44 7595 366162,https://www.thebuxton.co.uk/stay/,tourism: hotel,"Osborn Street 42, London",E1 6TD,London,Whitechapel,13,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Mumbai Square,info@mumbaisquare.co.uk,general,+44 20 7247 6461,https://mumbaisquare.co.uk/,amenity: restaurant,"Middlesex Street 7, London",E1 7AA,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Xian Biang Biang Noodles,info@xianbiangbiangnoodles.com,openstreetmap_tag,+44 20 8617 1470,https://xianbiangbiangnoodles.com,amenity: restaurant,"Wentworth Street 62, London",E1 7AL,London,Whitechapel,16,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Clayton Hotel,res.cityoflondon@claytonhotels.com,openstreetmap_tag,+44 20 3687 2777,https://www.claytonhotelcityoflondon.com/,tourism: hotel,"New Drum Street 10, London",E1 7AT,London,Whitechapel,12,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Ara Restaurant,info@ararestaurant.co.uk,openstreetmap_tag,+44 20 4597 0116,https://ararestaurant.co.uk/,amenity: restaurant,"New Drum Street 1, London",E1 7AY,London,Whitechapel,13,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
London Accounting Firm,info@londonaccountingfirm.co.uk,general,+44 7494 090068,https://londonaccountingfirm.co.uk/,finance,"95 Middlesex St, London E1 7DA, UK",E1 7DA,London,Whitechapel,19,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
