Business,Industry,Website,Address,Postcode,Nearest FC Urban venue,Walk (min),Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,InMail subject,InMail body,LinkedIn status,Connected at,Replied,Notes
Barnes & Scott,finance,http://www.barnesandscott.com/,"89-90 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from Barnes & Scott. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Barnes & Scott who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Barnes & Scott,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at Barnes & Scott who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
CBM Accounting Ltd,finance,http://www.cbmaccounting.co.uk/,"3rd floor, 86-90 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from CBM Accounting Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at CBM Accounting Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near CBM Accounting Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at CBM Accounting Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Carbon Accountancy London,finance,https://www.carbonaccountancy.co.uk/,"80-83 Long Ln, Barbican, London EC1A 9ET, UK",EC1A 9ET,Old St - Moreland Primary School,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Carbon Accountancy London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",280,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Carbon Accountancy London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Carbon Accountancy London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 16-minute walk from your office. We're looking for someone at Carbon Accountancy London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
"Highwoods Group - Shoreditch, London",finance,http://www.highwoodsgroup.co.uk/,"The Black & White Building, 74 Rivington St, London EC2A 3AY, UK",EC2A 3AY,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from Highwoods Group - Shoreditch, London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Highwoods Group - Shoreditch, London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban","After-work football near Highwoods Group - Shoreditch, London","Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at Highwoods Group - Shoreditch, London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
ManyPets,finance,https://manypets.com/uk/,"Unit 1b, 1-10 Summers St, London EC1R 5BD, UK",EC1R 5BD,Old St - Moreland Primary School,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from ManyPets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at ManyPets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near ManyPets,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 16-minute walk from your office. We're looking for someone at ManyPets who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Venn Accounts,finance,https://vennaccounts.com/,"86-90 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from Venn Accounts. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Venn Accounts who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Venn Accounts,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at Venn Accounts who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Alto Accounting,finance,https://www.alto-accounting.com/,"66 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,17,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 17-min walk from Alto Accounting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alto Accounting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Alto Accounting,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 17-minute walk from your office. We're looking for someone at Alto Accounting who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Dinosaur Merchant Bank Ltd.,finance,https://www.dinogroup.co.uk/,"Vintners Place, 68 Upper Thames St., London EC4V 3BJ, UK",EC4V 3BJ,Borough Academy,17,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Dinosaur Merchant Bank Ltd.. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Dinosaur Merchant Bank Ltd. who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Dinosaur Merchant Bank Ltd.,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 17-minute walk from your office. We're looking for someone at Dinosaur Merchant Bank Ltd. who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
HaysMac LLP,finance,http://haysmac.com/,"10 Queen St Pl, London EC4R 1AG, UK",EC4R 1AG,Borough Academy,17,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from HaysMac LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at HaysMac LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near HaysMac LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 17-minute walk from your office. We're looking for someone at HaysMac LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
In Step Accounting,finance,http://www.in-step.co.uk/,"52 Tabernacle St, London EC2A 4NJ, UK",EC2A 4NJ,Old St - Moreland Primary School,17,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from In Step Accounting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at In Step Accounting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near In Step Accounting,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 17-minute walk from your office. We're looking for someone at In Step Accounting who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Green Investment Group,finance,https://www.greeninvestmentgroup.com/,"28 Ropemaker St, London EC2Y 9HD, UK",EC2Y 9HD,Old St - Moreland Primary School,18,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 18-min walk from Green Investment Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Green Investment Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Green Investment Group,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 18-minute walk from your office. We're looking for someone at Green Investment Group who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
J.P. Morgan Private Bank,finance,https://privatebank.jpmorgan.com/eur/en/locations/emea/united-kingdom/london?y_source=1_MzMzMjE2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"60 Victoria Embankment, London EC4Y 0JP, UK",EC4Y 0JP,Borough Academy,18,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from J.P. Morgan Private Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at J.P. Morgan Private Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near J.P. Morgan Private Bank,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 18-minute walk from your office. We're looking for someone at J.P. Morgan Private Bank who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Quilter Invest,finance,https://www.quilterinvest.com/,"Senator House, 85 Queen Victoria St, London EC4V 4AB, UK",EC4V 4AB,Borough Academy,18,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Quilter Invest. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Quilter Invest who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Quilter Invest,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 18-minute walk from your office. We're looking for someone at Quilter Invest who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
