Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Acuris Holdings,,Financial institution,EC4R 1BE,"C/O ION, LONDON",18/04/2019,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Acuris Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acuris Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acuris International,,Financial institution,EC4R 1BE,"C/O ION 10 QUEEN ST PLACE, LONDON",18/04/2019,FULL,64204 - Activities of distribution holding companies,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Acuris International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acuris International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Additional Securities,,Financial institution,EC3M 7HA,COUNCIL SECRETARIAT,08/03/1937,FULL,66290 - Other activities auxiliary to insurance and pension funding,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Additional Securities. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Additional Securities who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Adg Corporate,,Financial institution,EC2V 7HR,"PART LEVEL 18, LONDON",15/12/2016,GROUP,64205 - Activities of financial services holding companies,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Adg Corporate. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Adg Corporate who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Adm Investor Services International,,Financial institution,EC3R 7AG,"THE MINSTER BUILDING 3RD FLOOR, LONDON",11/10/1990,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Adm Investor Services International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Adm Investor Services International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aegon Investments,,Financial institution,EC3V 4AB,"LEVEL 26 THE LEADENHALL BUILDING, LONDON",06/03/2017,FULL,66300 - Fund management activities,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Aegon Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aegon Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Affinity Dry Bulk,,Financial institution,EC3V 4AB,"C/O AFFINITY (SHIPPING) LLP, 44TH FLOOR THE LEADENHALL BUILDING, LONDON",27/09/2017,FULL,64209 - Activities of other holding companies n.e.c. | 82990 - Other business support service activities n.e.c.,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Affinity Dry Bulk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Affinity Dry Bulk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Affinity Shipping International,,Financial institution,EC3V 4AB,"LEVEL 44 THE LEADENHALL BUILDING, LONDON",12/05/2011,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Affinity Shipping International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Affinity Shipping International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Afin Bank,,Financial institution,EC1Y 4UQ,"LOWER GROUND FLOOR, LONDON",18/12/2020,FULL,64191 - Banks,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Afin Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Afin Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Afo Topco,,Financial institution,EC1V 0AU,"12-14 BERRY STREET, LONDON",29/11/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,9,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 9-min walk from Afo Topco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 9 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Afo Topco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Afro Asian Insurance Services,,Financial institution,EC3N 3DQ,"DIXON HOUSE, LONDON",20/11/1987,FULL,65201 - Life reinsurance | 65202 - Non-life reinsurance,Whitechapel,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 21-min walk from Afro Asian Insurance Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Afro Asian Insurance Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Afton Wind Farm (Holdings),,Financial institution,EC1Y 4AG,"60 MILTON GATE, LONDON",02/09/2016,FULL,64205 - Activities of financial services holding companies,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Afton Wind Farm (Holdings). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",281,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Afton Wind Farm (Holdings) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Ahj Holdings,,Financial institution,EC3R 7BB,2 MINSTER COURT MINCING LANE,14/09/1973,GROUP,65202 - Non-life reinsurance | 70100 - Activities of head offices | 82990 - Other business support service activities n.e.c.,Borough Academy,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 25-min walk from Ahj Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ahj Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aib Asset Management Holdings,,Financial institution,EC3A 8BE,"AIB 13 FLOOR, LONDON",30/11/1995,FULL,64999 - Financial intermediation not elsewhere classified | 66120 - Security and commodity contracts dealing activities,Whitechapel,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Aib Asset Management Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aib Asset Management Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aib Corporate Leasing,,Financial institution,EC3A 8BE,"AIB 13 FLOOR, LONDON",05/03/1980,FULL,64910 - Financial leasing | 64999 - Financial intermediation not elsewhere classified,Whitechapel,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Aib Corporate Leasing. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aib Corporate Leasing who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aioi Nissay Dowa Europe,,Financial institution,EC3A 2BJ,"7TH FLOOR 52-56, LONDON",08/11/2017,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Aioi Nissay Dowa Europe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aioi Nissay Dowa Europe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aioi Nissay Dowa Insurance Management,,Financial institution,EC3A 2BJ,"7TH FLOOR, 52-56, LONDON",16/01/1985,FULL,65120 - Non-life insurance | 78300 - Human resources provision and management of human resources functions | 82110 - Combined office administrative service activities,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Aioi Nissay Dowa Insurance Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aioi Nissay Dowa Insurance Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aioi Nissay Dowa Insurance Uk,,Financial institution,EC3A 2BJ,"7TH FLOOR 52-56, LONDON",11/12/2017,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Aioi Nissay Dowa Insurance Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aioi Nissay Dowa Insurance Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alchemy Prime,,Financial institution,EC1V 8AR,"5TH FLOOR 142 CENTRAL STREET, LONDON",20/09/2013,MEDIUM,66190 - Activities auxiliary to financial intermediation n.e.c.,Old St - Moreland Primary School,9,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 9-min walk from Alchemy Prime. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 9 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alchemy Prime who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alchemy Underwriting,,Financial institution,EC3N 4AT,"2 SEETHING LANE, LONDON",24/07/2017,GROUP,65120 - Non-life insurance,Whitechapel,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Alchemy Underwriting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alchemy Underwriting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Allenby Capital,,Financial institution,EC3A 6AB,"5 ST. HELEN'S PLACE, LONDON",24/09/2008,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Whitechapel,24,exact postcode,YES,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Allenby Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Allenby Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alliance Bidco,,Financial institution,EC4N 1TX,"ALDERMARY HOUSE, FLOOR 8, 10-15, LONDON",19/12/2022,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Alliance Bidco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alliance Bidco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alliance Topco,,Financial institution,EC4N 1TX,"ALDERMARY HOUSE, FLOOR 8, 10-15, LONDON",19/12/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Alliance Topco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alliance Topco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Allica Bank,,Financial institution,EC2A 2DT,"4TH/5TH FLOOR, LONDON",15/07/2011,GROUP,64191 - Banks,Shoreditch Rooftop,17,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 17-min walk from Allica Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Allica Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Allica Financial Services,,Financial institution,EC2A 2DT,"4TH/5TH FLOOR, LONDON",01/08/2020,FULL,64910 - Financial leasing,Shoreditch Rooftop,17,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 17-min walk from Allica Financial Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Allica Financial Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Allspring Global Investments (Uk),,Financial institution,EC4M 6XH,"30 CANNON STREET, LONDON",10/02/1999,FULL,66300 - Fund management activities,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Allspring Global Investments (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Allspring Global Investments (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alpha Bank London,,Financial institution,EC4N 7BL,"CAPITAL HOUSE, LONDON",17/10/1922,FULL,64191 - Banks,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Alpha Bank London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alpha Bank London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
